# The Computer Science Ontology as a term taxonomy: the topics computer science research is
# indexed by, each with the label CSO states for it and the equivalent labels it states beside
# it. CSO states NO definition for any topic, so this is matched against declared names like
# OLiA and FIBO and cannot be read as a functional taxonomy — there is no prose to compare a
# scope against.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# definition is empty for every row because CSO publishes none.
#
# CSO is a POLY-HIERARCHY: 4747 of its 11426 topics with a parent are stated beneath more
# than one, up to 13. Every parent is carried, joined with the separator SkosConcept states
# for a repeated property, and SkosConcept.broaderConcepts reads them back. Nothing is dropped.
#
# Name: Computer Science Ontology 3.5
# Publisher: the Knowledge Media Institute, The Open University (https://cso.kmi.open.ac.uk/)
# Kind: terms
# Source: CSO 3.5, https://cso.kmi.open.ac.uk/download (CSO.3.5.csv) (the download states
#   no revision, so the archive is the citation, pinned by the SHA-256 ContentDigest states
#   over CSO.3.5.csv: 1fa427ecb26a92d6077a54b5da41833e3eea6a194567091e336e8425f4cc11d4).
# Licence: Creative Commons Attribution 4.0 International (CC BY 4.0) — "you can freely copy,
#   share, adapt, and build upon the data for any purpose, including commercial use, as long as
#   you give appropriate credit to the original creators". Credit: the Computer Science
#   Ontology, Knowledge Media Institute, The Open University, and NOTICE.md carries it.
#   The downloaded archive itself states no licence and carries no licence file; these terms
#   were supplied by the maintainer of this repository rather than read from the archive.
# Generated by CsoTopicsExtraction: 11438 topics.
%28100%29_silicon	(100) silicon		nems	topic			
%28e_%2C3e%29_process	(e ,3e) process		computer networks | process engineering	topic			
%28i_%2Cj%29_conditions	(i ,j) conditions		applied (co)	topic			
%28min_%2Cmax_%2C%2B%29_functions	(min ,max ,+) functions		computer networks	topic			
0%2F1_knapsack_problems	0/1 knapsack problems		knapsack problems | multi-objective optimisation	topic			
1064_nm	1064 nm		neodymium lasers | optical radar | pumping (laser)	topic			
10_gb%2F_s	10 gb/ s		engineers | fiber optic networks | optical materials	topic			
16s_rrna	16s rrna	16s rrna | 16s rrna gene	rna 16s | taxonomy	topic			
18s_rrna	18s rrna		rna 18s	topic			
1db_compression_point	1db compression point		low power | microwaves | power gains	topic			
2-d_discrete_wavelet_transforms	2-d discrete wavelet transforms		discrete wavelet transform	topic			
2-d_model	2-d model		3d data | 3d modelling | 3d object | 3d objects | 3d scenes	topic			
28s_rrna	28s rrna		18s rrna | rna 28s	topic			
2d_video	2d video		video coding	topic			
3-axis_accelerometer	3-axis accelerometer		accelerometers	topic			
3-d_displays	3-d displays	3-d displays | 3d display	display devices	topic			
3-d_integrated_circuit	3-d integrated circuit		through silicon vias	topic			
3d-scanning	3d-scanning	3d scanning | 3d-scanning	three dimensional computer graphics	topic			
3d_content	3d content		three dimensional computer graphics	topic			
3d_data	3d data		three dimensional computer graphics	topic			
3d_data_processing	3d data processing		data visualization | imaging techniques	topic			
3d_face_models	3d face models		3d faces | face images | face models	topic			
3d_face_recognition	3d face recognition		3d faces | biometrics	topic			
3d_face_reconstruction	3d face reconstruction		3d face recognition	topic			
3d_faces	3d faces		facial expression | three dimensional computer graphics	topic			
3d_graphics	3d graphics		three dimensional computer graphics | visualization	topic			
3d_imaging	3d imaging	3-d imaging | 3d imaging	imaging systems | three dimensional imaging	topic			
3d_meshes	3d meshes		three dimensional computer graphics	topic			
3d_model_retrieval	3d model retrieval		3d data | 3d modelling | 3d object | 3d objects | 3d scenes | content based retrieval | self organizing maps	topic			
3d_modelling	3d modelling	3d model | 3d modeling | 3d modelling | 3d models	three dimensional computer graphics	topic			
3d_object	3d object		three dimensional computer graphics	topic			
3d_object_recognition	3d object recognition		3d data | 3d modelling | 3d object | 3d objects | 3d scenes | object recognition	topic			
3d_object_retrieval	3d object retrieval		3d data | 3d modelling | 3d object | 3d objects | 3d scenes | content based retrieval	topic			
3d_objects	3d objects		three dimensional computer graphics	topic			
