# The IANA media type registry: every registered type, carried byte for byte as the registry
# states it. A string literal equal to a row's identifier is the publisher's own identifier
# written into a repository, which is a citation no English word can make; nothing here is an
# English label, so this is never matched against a declared name and never placed as prose.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# concept and prefLabel are the registered template, byte for byte. broader and module name the
# registry the type is filed under. definition is empty for every row because the registry
# publishes none. note carries the registry's reference, and its own deprecation statement where
# it makes one — a deprecated identifier is still the registry's identifier, so the row stays.
#
# Source: IANA media types, https://www.iana.org/assignments/media-types/ (application.csv, audio.csv, font.csv, haptics.csv, image.csv, message.csv, model.csv, multipart.csv, text.csv, video.csv), retrieved 2026-08-19
#   (the registry states no revision, so the file set is the citation, pinned by the SHA-256
#   ContentDigest states over the ten CSVs: fd3eea02e8610628e4a3b6eb0b66a415fdbf973ce1e73e667be24b12cd505aeb).
# Licence: CC0 1.0 (https://www.iana.org/help/licensing-terms — "IANA and IETF intend that
#   the Protocol Registries may be freely used by any party for any purpose", with both
#   organisations' rights "subject to the Creative Commons CC0 1.0 dedication").
# Generated by MediaTypeExtraction: 2344 media types.
application/1d-interleaved-parityfec	application/1d-interleaved-parityfec		application	media-type	application		[RFC6015]
application/3gpdash-qoe-report+xml	application/3gpdash-qoe-report+xml		application	media-type	application		[_3GPP][Ozgur_Oyman]
application/3gpp-ims+xml	application/3gpp-ims+xml		application	media-type	application		[_3GPP][Dongwook_Kim]
application/3gpp-mbs-object-manifest+json	application/3gpp-mbs-object-manifest+json		application	media-type	application		[_3GPP_TSG_SA_WG4][Dongwook_Kim]
application/3gpp-mbs-user-service-descriptions+json	application/3gpp-mbs-user-service-descriptions+json		application	media-type	application		[_3GPP_TSG_SA_WG4][Dongwook_Kim]
application/3gpp-media-delivery-metrics-report+json	application/3gpp-media-delivery-metrics-report+json		application	media-type	application		[_3GPP_TSG_SA_WG4][Dongwook_Kim]
application/3gppHal+json	application/3gppHal+json		application	media-type	application		[_3GPP][Ulrich_Wiehe]
application/3gppHalForms+json	application/3gppHalForms+json		application	media-type	application		[_3GPP][Ulrich_Wiehe]
application/A2L	application/A2L		application	media-type	application		[ASAM][Bernd_Wenzel]
application/AML	application/AML		application	media-type	application		[ASAM][Bernd_Wenzel]
application/ATF	application/ATF		application	media-type	application		[ASAM][Bernd_Wenzel]
application/ATFX	application/ATFX		application	media-type	application		[ASAM][Bernd_Wenzel]
application/ATXML	application/ATXML		application	media-type	application		[ASAM][Bernd_Wenzel]
application/CALS-1840	application/CALS-1840		application	media-type	application		[RFC1895]
application/CDFX+XML	application/CDFX+XML		application	media-type	application		[ASAM][Bernd_Wenzel]
