# The NIST Cybersecurity Framework 2.0 as a functional taxonomy: six functions, the
# categories under each of them and the subcategories under those, with the outcome NIST
# states each one as. This is not a vocabulary to match against identifiers — nobody writes
# GV.OC-01, and nobody writes Organizational Context either. It is a published partition of
# what a security function does, and the sentence defining each part is what a body of code
# can be compared against as a distribution rather than searched for as a term.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# broader is empty for a function, the framework's own top level; module is the function a
# concept rolls up to; altLabel is the label NIST publishes beside a title wherever it
# publishes a different one, and empty where it publishes none. Concepts NIST states as
# withdrawn are not carried, which is what leaves 1.1's categories out.
#
# Source: NIST_CSF_v2.0_catalog.json at version 1.2.0, the OSCAL edition
#   NIST publishes of the Cybersecurity Framework 2.0, read from
#   https://raw.githubusercontent.com/usnistgov/oscal-content/78650f02ad9321bb7b817846f8fbd4f2bcd620de/nist.gov/CSF/v2.0/json/NIST_CSF_v2.0_catalog.json.
# Licence: public domain. The catalogue is a work of the United States government, and NIST
#   additionally waives copyright and related rights worldwide through CC0 1.0
#   (https://github.com/usnistgov/oscal-content/blob/main/LICENSE.md). The framework's own
#   words are quoted as NIST publishes them, and NIST states no endorsement of any use.
# Generated by NistCsfExtraction: 134 concepts.
DE	DETECT	DETECT (DE)		function	DE	Possible cybersecurity attacks and compromises are found and analyzed	
DE.AE	Adverse Event Analysis	Adverse Event Analysis (DE.AE)	DE	category	DE	Anomalies, indicators of compromise, and other potentially adverse events are analyzed to characterize the events and detect cybersecurity incidents	
DE.AE-02	DE.AE-02		DE.AE	subcategory	DE	Potentially adverse events are analyzed to better understand associated activities	
DE.AE-03	DE.AE-03		DE.AE	subcategory	DE	Information is correlated from multiple sources	
DE.AE-04	DE.AE-04		DE.AE	subcategory	DE	The estimated impact and scope of adverse events are understood	
DE.AE-06	DE.AE-06		DE.AE	subcategory	DE	Information on adverse events is provided to authorized staff and tools	
DE.AE-07	DE.AE-07		DE.AE	subcategory	DE	Cyber threat intelligence and other contextual information are integrated into the analysis	
DE.AE-08	DE.AE-08		DE.AE	subcategory	DE	Incidents are declared when adverse events meet the defined incident criteria	
DE.CM	Continuous Monitoring	Continuous Monitoring (DE.CM)	DE	category	DE	Assets are monitored to find anomalies, indicators of compromise, and other potentially adverse events	
DE.CM-01	DE.CM-01		DE.CM	subcategory	DE	Networks and network services are monitored to find potentially adverse events	
DE.CM-02	DE.CM-02		DE.CM	subcategory	DE	The physical environment is monitored to find potentially adverse events	
DE.CM-03	DE.CM-03		DE.CM	subcategory	DE	Personnel activity and technology usage are monitored to find potentially adverse events	
DE.CM-06	DE.CM-06		DE.CM	subcategory	DE	External service provider activities and services are monitored to find potentially adverse events	
DE.CM-09	DE.CM-09		DE.CM	subcategory	DE	Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events	
GV	GOVERN	GOVERN (GV)		function	GV	The organization's cybersecurity risk management strategy, expectations, and policy are established, communicated, and monitored	
GV.OC	Organizational Context	Organizational Context (GV.OC)	GV	category	GV	The circumstances - mission, stakeholder expectations, dependencies, and legal, regulatory, and contractual requirements - surrounding the organization's cybersecurity risk management decisions are understood	
GV.OC-01	GV.OC-01		GV.OC	subcategory	GV	The organizational mission is understood and informs cybersecurity risk management	
GV.OC-02	GV.OC-02		GV.OC	subcategory	GV	Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered	
GV.OC-03	GV.OC-03		GV.OC	subcategory	GV	Legal, regulatory, and contractual requirements regarding cybersecurity - including privacy and civil liberties obligations - are understood and managed	
GV.OC-04	GV.OC-04		GV.OC	subcategory	GV	Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated	
GV.OC-05	GV.OC-05		GV.OC	subcategory	GV	Outcomes, capabilities, and services that the organization depends on are understood and communicated	
GV.OV	Oversight	Oversight (GV.OV)	GV	category	GV	Results of organization-wide cybersecurity risk management activities and performance are used to inform, improve, and adjust the risk management strategy	
GV.OV-01	GV.OV-01		GV.OV	subcategory	GV	Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction	
GV.OV-02	GV.OV-02		GV.OV	subcategory	GV	The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks	
GV.OV-03	GV.OV-03		GV.OV	subcategory	GV	Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed	
GV.PO	Policy	Policy (GV.PO)	GV	category	GV	Organizational cybersecurity policy is established, communicated, and enforced	
GV.PO-01	GV.PO-01		GV.PO	subcategory	GV	Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced	
GV.PO-02	GV.PO-02		GV.PO	subcategory	GV	Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission	
GV.RM	Risk Management Strategy	Risk Management Strategy (GV.RM)	GV	category	GV	The organization's priorities, constraints, risk tolerance and appetite statements, and assumptions are established, communicated, and used to support operational risk decisions	
GV.RM-01	GV.RM-01		GV.RM	subcategory	GV	Risk management objectives are established and agreed to by organizational stakeholders	
