# PRONOM, The National Archives' registry of file formats, as the terms a program working
# with documents actually writes. A format's name is a phrase — Portable Document Format,
# Extensible Hypertext Markup Language, Scalable Vector Graphics — and the registry states
# each format's extensions and media types beside it, which are the short names a parser or
# a test fixture declares. Each concept is the format's PUID at the registry's own
# permalink, so a match cites The National Archives' record for it.
#
# Columns: concept, prefLabel, altLabel, broader, kind, module, definition, note.
# prefLabel is the format's own name. altLabel pools the stated extensions and media
# types. note carries the stated version, because PRONOM publishes one record per version
# of a format. broader and definition are blank on every row: the signature file states no
# hierarchy and no prose, and the blank is the publisher's statement. NOT CARRIED, and
# said outright: the container signature file — it maps container signatures to PUIDs this
# file already names, and states no format row of its own.
#
# Name: PRONOM signature file V125
# Short name: PRONOM
# Publisher: The National Archives
# Published at: https://www.nationalarchives.gov.uk/pronom/
# Kind: terms
# Description: PRONOM: the names The National Archives states for file formats.
# Subject: file formats
# Source: PRONOM's DROID signature file V125, https://cdn.nationalarchives.gov.uk/documents/DROID_SignatureFile_V125.xml,
#   a numbered release the publisher does not state a content address for, so it is pinned
#   by this library's own digest over it — a weaker claim than a publisher's revision, and
#   stated as such:
#   d06f26aeb0f153013449bd2a2f912c8d480247c056fd9bfd3facdc39bff7a586.
# Licence: the site footer states Open Government Licence v3.0, which permits copying,
#   publishing and adapting the information with attribution. The attribution statement it
#   requires — contains public sector information licensed under the Open Government
#   Licence v3.0 — is carried here and in NOTICE.md.
# Generated by PronomFormatsExtraction: 2571 formats.
https://www.nationalarchives.gov.uk/PRONOM/fmt/1	Broadcast WAVE	wav | audio/x-wav		format			version 0 Generic
https://www.nationalarchives.gov.uk/PRONOM/fmt/10	Tagged Image File Format			format			version 6
https://www.nationalarchives.gov.uk/PRONOM/fmt/100	Hypertext Markup Language	htm | html | text/html		format			version 4.01
https://www.nationalarchives.gov.uk/PRONOM/fmt/1000	TZX Format	tzx		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1001	OpenEXR	exr | image/x-exr		format			version 2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1002	Nearly Raw Raster Data	nrrd		format			version 1
https://www.nationalarchives.gov.uk/PRONOM/fmt/1003	Nearly Raw Raster Data	nrrd		format			version 2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1004	Nearly Raw Raster Data	nrrd		format			version 3
https://www.nationalarchives.gov.uk/PRONOM/fmt/1005	Nearly Raw Raster Data	nrrd		format			version 4
https://www.nationalarchives.gov.uk/PRONOM/fmt/1006	Nearly Raw Raster Data	nrrd		format			version 5
https://www.nationalarchives.gov.uk/PRONOM/fmt/1007	Digital Speech Standard	dss		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1008	DSS Pro	ds2		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1009	FBX (Filmbox) Binary			format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/101	Extensible Markup Language	xml | application/xml | text/xml		format			version 1.0
https://www.nationalarchives.gov.uk/PRONOM/fmt/1010	FBX (Filmbox) Text	fbx		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1011	INTERLIS Transfer File	xml | xtf		format			version 2.2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1012	INTERLIS Model File	ili		format			version 2.2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1013	INTERLIS Transfer File	itf		format			version 1
https://www.nationalarchives.gov.uk/PRONOM/fmt/1014	INTERLIS Model File	ili		format			version 1
https://www.nationalarchives.gov.uk/PRONOM/fmt/1015	Statistical Analysis System Data (Windows)	sas7bdat | sd7		format			version Generic
https://www.nationalarchives.gov.uk/PRONOM/fmt/1016	Statistical Analysis System Data (Unix)	sas7bdat | sd7		format			version Generic
https://www.nationalarchives.gov.uk/PRONOM/fmt/1017	Statistical Analysis System Data (Windows)	sas7bdat | sd7		format			version 8.2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1018	Statistical Analysis System Data (Unix)	sas7bdat | sd7		format			version 8.2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1019	Statistical Analysis System Data (Windows)	sas7bdat | sd7		format			version 9.2
https://www.nationalarchives.gov.uk/PRONOM/fmt/102	Extensible Hypertext Markup Language	htm | html | xhtml | application/xhtml+xml		format			version 1.0
https://www.nationalarchives.gov.uk/PRONOM/fmt/1020	Statistical Analysis System Data (Unix)	sas7bdat | sd7		format			version 9.2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1021	Statistical Analysis System Data (Windows)	sas7bdat | sd7		format			version 9.3
https://www.nationalarchives.gov.uk/PRONOM/fmt/1022	Statistical Analysis System Data (Unix)	sas7bdat | sd7		format			version 9.3
https://www.nationalarchives.gov.uk/PRONOM/fmt/1023	Statistical Analysis System Catalog (Windows)	sas7bcat | sc7		format			version Generic
https://www.nationalarchives.gov.uk/PRONOM/fmt/1024	Statistical Analysis System Catalog (Unix)	sas7bcat | sc7		format			version Generic
https://www.nationalarchives.gov.uk/PRONOM/fmt/1025	Statistical Analysis System Catalog (Windows)	sas7bcat | sc7		format			version 9.2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1026	Statistical Analysis System Catalog (Unix)	sas7bcat | sc7		format			version 9.2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1027	Statistical Analysis System Catalog (Windows)	sas7bcat | sc7		format			version 9.3
https://www.nationalarchives.gov.uk/PRONOM/fmt/1028	Statistical Analysis System Catalog (Unix)	sas7bcat | sc7		format			version 9.3
https://www.nationalarchives.gov.uk/PRONOM/fmt/1029	Stata Data (DTA) Format	dta		format			version 104
https://www.nationalarchives.gov.uk/PRONOM/fmt/103	Extensible Hypertext Markup Language	htm | html | xhtml | application/xhtml+xml		format			version 1.1
https://www.nationalarchives.gov.uk/PRONOM/fmt/1030	Stata Data (DTA) Format	dta		format			version 105
https://www.nationalarchives.gov.uk/PRONOM/fmt/1031	Stata Data (DTA) Format	dta		format			version 110
https://www.nationalarchives.gov.uk/PRONOM/fmt/1032	Stata Data (DTA) Format	dta		format			version 111
https://www.nationalarchives.gov.uk/PRONOM/fmt/1033	Stata Data (DTA) Format	dta		format			version 113
https://www.nationalarchives.gov.uk/PRONOM/fmt/1034	Stata Data (DTA) Format	dta		format			version 114
https://www.nationalarchives.gov.uk/PRONOM/fmt/1035	Stata Data (DTA) Format	dta		format			version 115
https://www.nationalarchives.gov.uk/PRONOM/fmt/1036	Stata Data (DTA) Format	dta		format			version 117
https://www.nationalarchives.gov.uk/PRONOM/fmt/1037	Stata Data (DTA) Format	dta		format			version 118
https://www.nationalarchives.gov.uk/PRONOM/fmt/1038	Redcode RAW (R3D) Media File	r3d		format			version 2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1039	Redcode Metadata (RMD) File	rmd		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/104	Macromedia Flash	swf | application/x-shockwave-flash		format			version 1
https://www.nationalarchives.gov.uk/PRONOM/fmt/1040	DirectDraw Surface	dds		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1041	HDF	h4 | hdf		format			version 1-4
https://www.nationalarchives.gov.uk/PRONOM/fmt/1042	WordPerfect Graphics Metafile	wpg		format			version 2.0
https://www.nationalarchives.gov.uk/PRONOM/fmt/1043	Microsoft PRX File	prx		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1044	AutoShade Rendering Slide	rnd		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1045	Q&A Word Processor Document			format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1046	Draco	drc		format			version 1
https://www.nationalarchives.gov.uk/PRONOM/fmt/1047	Geography Markup Language	gml | application/gml+xml		format			version 3.2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1048	OGR GFS File	gfs		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/1049	QuickDraw 3D Metafile (ASCII)	3dmf		format			
https://www.nationalarchives.gov.uk/PRONOM/fmt/105	Macromedia Flash	swf | application/x-shockwave-flash		format			version 2
https://www.nationalarchives.gov.uk/PRONOM/fmt/1050	QuickDraw 3D Metafile (Binary)	3dmf		format			version 1
