# Name tokens from the Wikidata entity registry: every given-name and family-name item
# borne by at least five subjects, written as each of the registry's labels for it, with
# the token's dominant Unicode script and the item's bearer count as prominence. A row
# says the registry records people bearing the token as a name part — 王 is a family name
# written in Han script; Alexander, Александр and 亚历山大 are one given name written
# three ways. Whether a sampled value is made of such tokens is the caller's question,
# answered by votes this file does not cast.
#
# Name: Wikidata given and family names
# Publisher: Wikidata
# Kind: words
# Source: Wikidata, items referenced as a person's given name (P735) or family name
#   (P734) by at least five subjects, under every rdfs:label in every language; the
#   script is the majority Unicode script of the token's letters. Queried via the
#   QLever SPARQL endpoint (https://qlever.dev/api/wikidata).
# Licence: CC0 1.0 (https://creativecommons.org/publicdomain/zero/1.0/).
# Regenerate: ./gradlew :lexicon-extraction:extractWikidataNames
#
# token	script	kind	bearers
"Aalborg"	LATIN	family	6
"Anelli	LATIN	family	57
"Arduino"	LATIN	family	22
"Caracas"	LATIN	family	5
"Córdoba"	LATIN	family	69
"Debatte"	LATIN	family	5
"Gewürz"	LATIN	family	7
"Handwerker"	LATIN	family	15
"Hannover"	LATIN	family	15
"Kanzler"	LATIN	family	28
"Lob"	LATIN	family	74
"Offenburg"	LATIN	family	5
"Patient"	LATIN	family	11
"Redner"	LATIN	family	8
"Wiesel"	LATIN	family	42
"Zuschlag"	LATIN	family	13
'Abd al-Hamid	LATIN	given	185
'Abd al-Majid	LATIN	given	132
'Abd al-Maŷīd	LATIN	given	132
'Abd al-Wahid	LATIN	given	50
'Efrayim	LATIN	given	38
'El'azar	LATIN	given	32
's Graeuwen	LATIN	family	5
't Hart	LATIN	family	7
't Hoen	LATIN	family	6
't Mannetje	LATIN	family	5
't Wallant	LATIN	family	15
1chieu	LATIN	family	696
1thaon	LATIN	family	990
6lieu	LATIN	family	20021
6lieu	LATIN	given	28
7koq	LATIN	family	5200
7koq	LATIN	given	11
A	LATIN	family	28
A'Beckett	LATIN	family	8
A'Court	LATIN	family	14
A'isha	LATIN	given	59
A-hyeon	LATIN	given	6
A-in	LATIN	given	6
A-jong	LATIN	given	19
A-ra	LATIN	given	14
A-reum	LATIN	given	20
A-rum	LATIN	given	20
A-yeong	LATIN	given	19
A.	LATIN	family	8
A.	LATIN	given	4769
A. J.	LATIN	given	5
AJ	LATIN	given	15
ARAT	LATIN	family	23
Aa	LATIN	family	9
Aab	LATIN	family	8
Aabakken	LATIN	family	7
Aabel	LATIN	family	11
Aaberg	LATIN	family	13
Aaberge	LATIN	family	5
Aaby	LATIN	family	10
Aach	LATIN	family	6
Aad	LATIN	given	77
Aada	LATIN	given	13
Aadland	LATIN	family	13
Aado	LATIN	given	16
Aadolf	LATIN	given	9
Aadu	LATIN	given	54
Aadya	LATIN	given	5
Aae	LATIN	family	7
Aaen	LATIN	family	8
Aafje	LATIN	given	16
Aafjes	LATIN	family	10
Aafke	LATIN	given	32
Aagaard	LATIN	family	97
Aage	LATIN	given	423
Aagesen	LATIN	family	19
Aagje	LATIN	given	22
Aagot	LATIN	given	31
Aagård	LATIN	family	5
Aake	LATIN	given	8
Aaker	LATIN	family	9
Aakjær	LATIN	family	7
Aakre	LATIN	family	17
Aakvik	LATIN	family	5
Aal	LATIN	family	15
Aaland	LATIN	family	6
Aalberg	LATIN	family	15
Aalbers	LATIN	family	13
Aalborg	LATIN	family	6
Aalbu	LATIN	family	5
Aalders	LATIN	family	11
Aaldert	LATIN	given	11
Aale	LATIN	given	6
Aalen	LATIN	family	11
Aaliyah	LATIN	given	81
Aall	LATIN	family	28
Aalst	LATIN	family	5
Aalt	LATIN	given	11
