# Wiktionary topic vocabulary, one row per headword: the word (multi-word phrases carry
# underscores, the written form the bundled WordNet resources use) and the union of topic
# labels across its senses, comma-separated. The dictionary saying which domains claim the
# word — membership is a vote's evidence, never a decision.
#
# Name: Wiktionary topic vocabulary
# Publisher: Wiktionary, through wiktextract at kaikki.org
# Kind: words
# Source: Wiktionary (https://en.wiktionary.org/), read from the wiktextract JSONL published
#   at kaikki.org (https://kaikki.org/dictionary/English/); Tatu Ylonen: "Wiktextract:
#   Wiktionary as Machine-Readable Structured Data", LREC 2022.
# Licence: this data file is derived from Wiktionary content and is distributed under
#   CC BY-SA (https://creativecommons.org/licenses/by-sa/4.0/). The licence attaches to
#   this file, not to the code that reads or produced it.
# Generated by WiktionaryExtraction: 185768 words.
$100_hamburger	aeronautics,aerospace,aviation,business,engineering,natural-sciences,physical-sciences
'50s_progression	entertainment,lifestyle,music
'aqida	Islam,lifestyle,religion
'bot	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
'bout_ship	nautical,transport
'eid	Islam,lifestyle,religion
'ismah	Islam,lifestyle,religion
'keeper	hobbies,lifestyle,sports
'roid_rage	bodybuilding,hobbies,lifestyle,sports
'saur	fantasy,literature,media,publishing,science-fiction
't_hooft_operator	natural-sciences,physical-sciences,physics
'tec	lifestyle
'tweenbrain	anatomy,medicine,neuroanatomy,neurology,neuroscience,sciences
'twixt-brain	anatomy,medicine,sciences
'vator	literature,media,publishing,science-fiction
'verse	lifestyle
*67	communications,electrical-engineering,engineering,natural-sciences,physical-sciences,telecommunications,telephony
*69	communications,electrical-engineering,engineering,natural-sciences,physical-sciences,telecommunications,telephony
*nix	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
++	computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
-30-	journalism,media
-a-	chemistry,medicine,natural-sciences,pharmacology,physical-sciences,sciences
-ad	anatomy,medicine,sciences
-adic	algebra,computing,engineering,mathematics,natural-sciences,physical-sciences,sciences
-adol	medicine,pharmacology,sciences
-adol-	medicine,pharmacology,sciences
-aemia	medicine,sciences
-afil	medicine,pharmacology,sciences
-agogue	biology,medicine,natural-sciences,sciences
-al	chemistry,natural-sciences,organic-chemistry,physical-sciences
-alol	medicine,pharmacology,sciences
-amic	chemistry,natural-sciences,physical-sciences
-amidine	chemistry,natural-sciences,organic-chemistry,physical-sciences
-amine	chemistry,natural-sciences,organic-chemistry,physical-sciences
-amivir	medicine,pharmacology,sciences
-ander	biology,botany,natural-sciences
-andrian	biology,botany,natural-sciences
-androus	biology,botany,natural-sciences
-ane	chemistry,inorganic-chemistry,natural-sciences,organic-chemistry,physical-sciences
-angle	geometry,mathematics,sciences
-ant	medicine,sciences
-antel	medicine,pharmacology,sciences
-anth	biology,natural-sciences
-apine	medicine,pharmacology,sciences
-ar	astronomy,natural-sciences
-arabine	medicine,pharmacology,sciences
-arol	medicine,pharmacology,sciences
-arone	medicine,pharmacology,sciences
-arotene	medicine,pharmacology,sciences
-ary	mathematics,sciences
-asone	biochemistry,biology,chemistry,medicine,microbiology,natural-sciences,pharmacology,physical-sciences,sciences
-asvir	medicine,pharmacology,sciences
-ate	biology,chemistry,natural-sciences,physical-sciences
-axo-	medicine,pharmacology,sciences
-azam	medicine,pharmacology,sciences
-azenil	medicine,pharmacology,sciences
-azepam	medicine,pharmacology,sciences
-azepate	medicine,pharmacology,sciences
-azocine	medicine,pharmacology,sciences
-azodone	chemistry,medicine,natural-sciences,organic-chemistry,pharmacology,physical-sciences,sciences
-azolam	medicine,pharmacology,sciences
-azosin	medicine,pharmacology,sciences
-ba-	medicine,pharmacology,sciences
-bac-	medicine,pharmacology,sciences
-bactam	medicine,pharmacology,sciences
-ball	ball-games,games,hobbies,lifestyle,soccer,sports
-bamate	medicine,pharmacology,sciences
-barb-	medicine,pharmacology,sciences
-betasol	medicine,pharmacology,sciences
-biont	biology,natural-sciences
-biosis	biology,natural-sciences
-bital	medicine,pharmacology,sciences
-bradine	medicine,pharmacology,sciences
-burger	hobbies,lifestyle,sports
-buterol	medicine,pharmacology,sciences
-buvir	medicine,pharmacology,sciences
-c-	medicine,pharmacology,sciences
-cain-	medicine,pharmacology,sciences
-caine	chemistry,medicine,natural-sciences,organic-chemistry,pharmacology,physical-sciences,sciences
-calci-	medicine,pharmacology,sciences
